"script.filename","script.startdate","script.starttime","script.subjectid","script.groupid","values.bad_left","script.elapsedtime","computer.platform","values.completed","expressions.propcorrect","expressions.meanRT","expressions.propcorrect_BB","expressions.meanRT_BB","expressions.propcorrect_BG","expressions.meanRT_BG","expressions.propcorrect_GB","expressions.meanRT_GB","expressions.propcorrect_GG","expressions.meanRT_GG","values.emotcond","values.question_order"
"evaluative_categorization_mar13_2017_p_m.iqx","051517","14:52:45","000","38","0","158464","mac","0","nan","133.5","nan","nan","nan","142","nan","nan","nan","125","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","060517","13:19:07","00","95","0","22502","win","1","0","160.8000000000000113687","0","192","0","nan","nan","175","0","53","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","032317","12:57:28","1001","19","1","23940","win","0","nan","7288","nan","nan","nan","nan","nan","nan","nan","7288","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","032317","13:02:11","1001","21","1","1394605","win","1","0.514285714285714235","1524.7272727272727479431","0.6714285714285713746","1319.4693877551019340899","0.4000000000000000222","1851.9622641509433833562","0.6428571428571429047","1335.0361445783132694487","0.3428571428571428603","1880.8076923076923776534","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","032317","13:25:52","1001","22","0","109342","win","0","nan","9746.888888888888686779","nan","2696.6666666666665150842","nan","22990","nan","3554","nan","nan","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","032317","13:00:05","1002","20","0","1114776","win","1","0.4357142857142857206","983.3886925795053457477","0.3285714285714285698","826.6119402985074202661","0.4714285714285714191","1028.982758620689764939","0.3285714285714285698","941.4324324324323924884","0.6142857142857143238","1113.9166666666667424579","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","032317","16:11:27","1003","24","0","982927","win","1","0.5500000000000000444","837.1985815602837419647","0.5714285714285713969","713.3108108108108353917","0.4714285714285714191","916.3968253968254202846","0.7285714285714285365","727.0379746835443484088","0.4285714285714285476","1032.3636363636362602847","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","033017","11:33:36","1004","28","0","1257287","win","1","0.4821428571428571508","1182.0851063829786653514","0.4285714285714285476","1256.3714285714286233997","0.5999999999999999778","1151.7894736842106340191","0.4285714285714285476","1108.3731343283582191361","0.4714285714285714191","1211.6666666666667424579","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","033017","13:02:03","1005","29","1","1323460","win","1","0.4964285714285714413","1405.0138408304499080259","0.5714285714285713969","1327.5875000000000909495","0.4142857142857143127","1633.1230769230769510614","0.4000000000000000222","1243.1641791044776255148","0.5999999999999999778","1433.7272727272727479431","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","033017","15:03:27","1006","30","0","1096826","win","1","0.4535714285714285698","1024.7063197026022862701","0.2285714285714285643","1196.3692307692308531841","0.7142857142857143016","923.8533333333333530391","0.2285714285714285643","1051.8095238095238528331","0.6428571428571429047","944.3787878787878753428","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","033017","16:02:22","1007","32","0","941866","win","1","0.4214285714285714302","733.1428571428571103752","0.3571428571428571508","683.9857142857142662251","0.4285714285714285476","772.625","0.4428571428571428381","720.648648648648645576","0.4571428571428571286","761.430769230769215028","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","033017","17:02:16","1008","33","1","992185","win","1","0.5464285714285713746","809.8214285714285551876","0.6285714285714285587","782.4545454545454958861","0.5571428571428571619","887.2784810126581760414","0.5428571428571428159","777.4571428571429123622","0.4571428571428571286","789.4647887323943677984","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","052517","13:02:26","1009","44","0","1011974","win","1","0.5321428571428571397","903.3345588235293917023","0.7142857142857143016","951.7567567567567721198","0.4285714285714285476","903.9838709677419501531","0.5714285714285713969","847.2638888888889141526","0.4142857142857143127","909.796875","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","052517","14:06:21","1010","48","1","918990","win","1","0.5214285714285714635","827.3114186851211115936","0.5285714285714285809","806.9041095890411270375","0.5285714285714285809","836.8148148148147811298","0.4857142857142857095","822.2931034482758150261","0.5428571428571428159","840.4415584415584135058","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","052517","14:22:16","1010","49","1","167921","win","0","nan","832.7948717948718240223","nan","1217","nan","834.7692307692307167599","nan","714.6000000000000227374","nan","717.8999999999999772626","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","052617","10:48:28","1012","67","0","1462489","win","1","0.4249999999999999889","1101.3948339483395102434","0.2857142857142856984","1054.5671641791045658465","0.5999999999999999778","1061.6111111111110858474","0.3285714285714285698","1129.2666666666666515084","0.4857142857142857095","1161.5277777777778283053","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","052617","10:57:00","1013","68","1","1378684","win","1","0.514285714285714235","880.3355263157894796677","0.4857142857142857095","831.8472222222221716947","0.5571428571428571619","971.0370370370370665114","0.4142857142857143127","815.84375","0.5999999999999999778","883.459770114942557484","fear","pleasant_then_moral"
